city,width_mm,height_mm,line_width_mm,letter_mm,lines,stations,parts,plates,tiles,grams,cost_usd,print_hours_1_printer,hours_3_A1_mini,hours_3_A1_mini_1_S3,hours_9_A1_mini_2_S3,assembly_hours
Atlanta,600,847,4.8,4.5,4,38,199,15,13,217,4.77,18.7,6.8,5.5,2.1,3.1
Atlanta,900,1275,6,5.5,4,41,213,23,20,346,7.62,29.4,10.7,8.5,3.1,3.6
Atlanta,1200,1701,8,7.3,4,41,231,30,31,516,11.35,42.9,15.6,12.4,4.6,4.4
London,600,329,4.8,4.5,11,267,968,23,7,345,7.58,34,12.4,9.7,4.3,11.8
London,900,488,6,5.5,11,267,1089,30,16,592,13.03,54.9,19.6,15.7,5.8,13.2
London,1200,651,8,7.3,11,267,1110,39,25,932,20.51,81.1,28.7,22.8,8.5,13.9
Moscow,600,855,4.8,4.5,15,215,767,36,16,686,15.1,59.6,21.4,17,6.3,7.9
Moscow,900,1288,6,5.5,15,220,842,51,37,1165,25.64,96.7,34.4,27.5,10,9.8
Moscow,1200,1717,8,7.3,15,220,903,85,70,1797,39.54,145.1,52.2,41.5,14.7,12.2
Paris,600,445,4.8,4.5,16,308,911,28,9,462,10.16,43.2,15.7,12.4,4.6,9.3
Paris,900,665,6,5.5,16,308,1078,38,19,826,18.17,72.6,26,20.4,7.7,11.2
Paris,1200,886,8,7.3,16,308,1152,49,35,1317,28.97,109.8,38.9,30.8,11.5,12.6
Philadelphia,600,610,4.8,4.5,20,281,899,24,12,466,10.26,42.9,15.3,12.4,4.8,7.8
Philadelphia,900,915,6,5.5,20,281,959,34,25,811,17.84,70,25.1,19.7,7.1,9.1
Philadelphia,1200,1219,8,7.3,20,281,992,51,47,1266,27.84,104,36.9,29.4,10.6,10.5
Pittsburgh,600,1270,4.8,4.5,3,38,168,18,16,237,5.2,20.3,7.5,6,2.4,2.4
Pittsburgh,900,1917,6,5.5,3,37,183,27,30,370,8.14,31,11.5,9.1,3.4,3.2
Pittsburgh,1200,2556,8,7.3,3,37,201,35,41,537,11.82,43.7,16.2,12.8,4.7,3.9
San Francisco,600,637,4.8,4.5,5,38,205,20,11,217,4.77,19,7.2,5.7,2.1,3.1
San Francisco,900,957,6,5.5,5,38,207,24,18,354,7.79,30,11,8.8,3.2,3.3
San Francisco,1200,1276,8,7.3,5,38,227,36,28,524,11.53,43.5,16.1,12.8,4.7,4
Tokyo,600,536,4.8,4.5,13,212,676,26,12,420,9.23,38.7,14.1,11.2,4.1,7.7
Tokyo,900,802,6,5.5,13,215,766,40,24,753,16.57,65.8,23.7,18.8,7,9.1
Tokyo,1200,1070,8,7.3,13,215,807,53,41,1177,25.88,97.8,35,27.8,10.2,10.4
Vienna,600,541,4.8,4.5,5,99,332,18,10,240,5.29,21.8,8,6.4,2.9,3.4
Vienna,900,810,6,5.5,5,98,348,23,18,379,8.33,32.9,12,9.5,3.5,3.9
Vienna,1200,1080,8,7.3,5,98,369,29,26,509,11.21,43.9,16,12.5,5.1,4.6
